Kalimat;Kelompok
Seseorang yang berjalan di tepi pantai, menikmati angin laut yang menyegarkan.;pernyataan
Di kejauhan, seseorang memancing di tepi danau yang tenang.;pernyataan
Suasana tenang di taman, seseorang membaca buku di bawah pohon rindang.;pernyataan
Seseorang menyusuri jalan berliku di pegunungan, menikmati keindahan alam yang megah.;pernyataan
Di ruang kelas, seseorang mendengarkan dengan seksama saat guru menjelaskan pelajaran.;pernyataan
Suara riuh rendah dari kafe, seseorang menikmati secangkir kopi hangat.;pernyataan
Di lapangan, seseorang berlatih pukulan backhand dalam permainan tenis.;pernyataan
Seseorang menatap langit malam, memperhatikan gerak-gerik bintang di langit.;pernyataan
Di pasar, seseorang berbelanja buah-buahan segar untuk persediaan mingguan.;pernyataan
Seseorang menulis di buku catatan, mencatat ide-ide kreatif untuk proyek seni mereka.;pernyataan
Suara gemuruh petir memecah keheningan malam, seseorang menyaksikan kilatan cahaya di kejauhan.;pernyataan
Di kandang, seseorang merawat hewan ternak dengan penuh kasih sayang.;pernyataan
Seseorang berjalan-jalan di taman, menikmati keindahan bunga-bunga yang bermekaran.;pernyataan
Di rumah sakit, seseorang memberikan dukungan kepada pasien yang sedang dalam perawatan.;pernyataan
Suara tawa riang terdengar dari taman bermain, seseorang menonton anak-anak bermain dengan gembira.;pernyataan
Seseorang memasak masakan lezat di dapur, mengisi udara dengan aroma yang menggugah selera.;pernyataan
Di gedung perkantoran, seseorang menyelesaikan tumpukan pekerjaan yang menumpuk di mejanya.;pernyataan
Seseorang menatap layar komputer dengan serius, menyelesaikan tugas-tugas administratif.;pernyataan
Suara gemerincing air terdengar dari pancuran, seseorang menikmati mandi air panas yang menyegarkan.;pernyataan
Di jalanan kota, seseorang berjalan-jalan sambil menikmati hiruk-pikuk kehidupan perkotaan.;pernyataan
Langit senja diwarnai dengan nuansa merah dan jingga, menciptakan pemandangan yang memukau di ufuk barat.;pernyataan
Suara gemuruh air terjun mengalir deras di tengah hutan, menawarkan kedamaian dan keindahan alam yang menakjubkan.;pernyataan
Wajah-wajah ceria berkumpul di taman, sementara seseorang mengadakan pesta kecil untuk merayakan momen spesial.;pernyataan
Seorang pujangga menulis bait-bait puisi yang indah, menciptakan karya seni yang mempesona bagi pembaca.;pernyataan
Di perpustakaan, seseorang membenamkan diri dalam buku-buku dan mencari pengetahuan baru.;pernyataan
Cahaya bulan menerangi malam gelap, menciptakan suasana romantis di tepi danau yang tenang.;pernyataan
Seorang pemandu wisata membawa rombongan wisatawan melalui jalanan bersejarah kota, menceritakan kisah-kisah menarik dari masa lalu.;pernyataan
Di ladang, seseorang bekerja keras untuk memanen hasil pertanian yang melimpah.;pernyataan
Suara tawa riang terdengar dari halaman belakang, seseorang mengadakan piknik bersama keluarga dan teman-teman.;pernyataan
Suara gemerincing daun-daun berguguran dari pohon, seseorang berjalan-jalan di taman pada musim gugur yang indah.;pernyataan
Seseorang berbaring di bawah pohon, menikmati kelembutan rumput di bawahnya dan langit biru yang terang.;pernyataan
Di pantai, seseorang membangun istana pasir dengan hati-hati, menciptakan karya seni sementara air laut bermain-main di tepinya.;pernyataan
Di lapangan golf, seseorang memukul bola dengan pukulan yang sempurna, mengirimkannya terbang melintasi padang luas.;pernyataan
Seseorang mengamati langit malam dengan teleskop, mencari bintang-bintang dan planet-planet di galaksi yang luas.;pernyataan
Di atas panggung, seseorang menampilkan bakat musik mereka dengan memainkan lagu-lagu favorit di depan penonton yang antusias.;pernyataan
Di kantor pos, seseorang melayani pelanggan dengan ramah, membantu mereka mengirimkan paket dan surat dengan cepat dan efisien.;pernyataan
Seseorang memasak makanan lezat di dapur, menciptakan aroma yang menggugah selera dan mengundang keluarga untuk makan malam bersama.;pernyataan
Di bawah air terjun, seseorang merasakan tetes-tetes air yang menyegarkan di wajah mereka, menyatukan diri dengan alam di sekitarnya.;pernyataan
Suara riuh rendah kota memenuhi udara di malam hari, seseorang menikmati kehidupan malam yang penuh dengan cahaya dan suara.;pernyataan
Seseorang berjalan-jalan di taman, menikmati keindahan bunga-bunga yang mekar di bawah sinar matahari yang hangat.;pernyataan
Di arena olahraga, seseorang menonton pertandingan sepak bola yang seru, mendukung tim favorit mereka dengan semangat.;pernyataan
Di taman bermain, seseorang merasakan kebahagiaan murni saat mereka bergelantungan di ayunan dan meluncur di perosotan.;pernyataan
Suara gemerincing daun kering terdengar di hutan, seseorang menikmati berjalan-jalan di tengah pepohonan yang meranggas.;pernyataan
Di musium seni, seseorang terpesona oleh lukisan-lukisan indah yang dipajang di dinding-dinding putih.;pernyataan
Seseorang berjalan di sepanjang pantai, mengumpulkan kerang-kerang indah yang tersebar di pasir putih.;pernyataan
Di atas gunung, seseorang menyaksikan matahari terbit dengan pemandangan yang menakjubkan di sekitarnya.;pernyataan
Suara gemerincing air mengalir di sungai, seseorang merasakan ketenangan yang mendalam di bawah sinar matahari yang hangat.;pernyataan
Seseorang mengunjungi taman binatang, menikmati menonton berbagai binatang yang menggemaskan dan eksotis.;pernyataan
Di kandang kuda, seseorang merawat hewan peliharaan mereka dengan penuh kasih sayang dan perhatian.;pernyataan
Suara gemuruh petir menggema di kejauhan, seseorang merasakan ketegangan dan kegembiraan dalam hujan badai yang mendekat.;pernyataan
Di perpustakaan, seseorang menyelam dalam dunia fantasi dan petualangan melalui buku-buku fiksi yang menarik.;pernyataan
Suara gemerincing air hujan turun di atap, seseorang merasa hangat dan nyaman di dalam rumah mereka.;pernyataan
Di pantai, seseorang mengumpulkan batu-batu halus yang terbawa oleh ombak ke pantai, mencari batu yang indah sebagai kenang-kenangan.;pernyataan
Suara gemuruh kereta api terdengar di stasiun, seseorang menunggu dengan sabar kedatangan kereta yang akan membawa mereka ke tujuan berikutnya.;pernyataan
Di perbukitan, seseorang merasakan angin sepoi-sepoi yang menyegarkan saat mereka mendaki ke puncak.;pernyataan
Seseorang duduk di tepi kolam renang, menikmati matahari terbenam yang merah muda memantulkan warna-warni di permukaan air.;pernyataan
Di hutan, seseorang menyaksikan rusa jantan menghampiri betinanya dengan lembut di antara pepohonan yang rimbun.;pernyataan
Suara gemerincing daun di pepohonan bergerak dengan angin, seseorang merasakan kedamaian di bawah sinar matahari yang hangat.;pernyataan
Di taman bermain air, seseorang merasakan kegembiraan saat mereka bermain-main dengan air bersama teman-teman mereka.;pernyataan
Seseorang berlari di sepanjang tepi sungai, menikmati larian yang menyegarkan di bawah sinar matahari yang terang.;pernyataan
Di kebun, seseorang merawat tanaman-tanaman mereka dengan penuh kasih sayang, menciptakan lingkungan yang indah dan sehat.;pernyataan
Suara gemerincing air terjun yang jatuh ke kolam di bawahnya, seseorang merasakan kesegaran air yang dingin di wajah mereka.;pernyataan
Di rumah, seseorang menikmati waktu bersama keluarga di ruang keluarga yang nyaman dan hangat.;pernyataan
Di jalanan kota, seseorang menikmati pertunjukan jalanan dari seniman jalanan yang berbakat.;pernyataan
Di lapangan, seseorang bermain sepak bola dengan teman-teman mereka, merasakan kegembiraan kompetisi dan persahabatan.;pernyataan
Seseorang duduk di atas batu besar di tepi danau, menikmati ketenangan dan keindahan alam di sekitarnya.;pernyataan
Di taman bunga, seseorang mengagumi keindahan bunga-bunga yang beraneka warna dan aroma.;pernyataan
Di atas gunung es, seseorang merasakan dinginnya udara segar di wajah mereka, sambil mengagumi keindahan panorama yang luas.;pernyataan
Seseorang menyusuri lorong-lorong kota tua, menemukan sejarah dan keunikan di setiap sudutnya.;pernyataan
Di dalam gereja tua, seseorang merasakan ketenangan dan ketakjuban di depan arsitektur dan seni rupa yang indah.;pernyataan
Malam yang gelap dihiasi oleh gemerlap bintang di langit.;pernyataan
Bunga-bunga mekar di kebun, memancarkan aroma yang menyegarkan.;pernyataan
Anak-anak riang bermain di taman bermain yang ramai.;pernyataan
Kupu-kupu berterbangan di sekitar bunga-bunga yang berwarna-warni.;pernyataan
Suara riuh rendah pasar menciptakan suasana yang hidup di kota.;pernyataan
Nelayan menarik jaring mereka dari dalam laut yang biru.;pernyataan
Burung-burung bernyanyi merdu di pepohonan di pagi hari.;pernyataan
Perajin tukang anyaman menciptakan kerajinan tangan yang indah dari rotan.;pernyataan
Seniman melukis pemandangan indah di atas kanvas besar.;pernyataan
Petani menggarap tanah mereka untuk menanam padi di sawah.;pernyataan
Ilmuwan mengamati pola-pola bintik matahari dengan teleskop mereka.;pernyataan
Penari menari dengan gemulai di atas panggung besar di teater.;pernyataan
Ahli biologi mempelajari perilaku hewan di habitat alaminya.;pernyataan
Pemandu wisata memandu rombongan wisatawan di sekitar kota tua.;pernyataan
Pengusaha membuka usaha baru di pusat perbelanjaan yang ramai.;pernyataan
Petugas pemadam kebakaran memadamkan api yang membara di gedung pencakar langit.;pernyataan
Pengemudi bus mengemudikan kendaraannya dengan hati-hati di jalan raya.;pernyataan
Guru memberikan pelajaran yang menarik kepada murid-muridnya di dalam kelas.;pernyataan
Fotografer mengambil gambar-gambar indah dari alam liar.;pernyataan
Dokter memberikan perawatan yang baik kepada pasien-pasiennya di rumah sakit.;pernyataan
Jurutulis mengetikkan surat-surat resmi di depan komputer mereka.;pernyataan
Sopir truk mengangkut barang-barang dari satu kota ke kota lainnya.;pernyataan
Arsitek merancang bangunan megah yang akan menjadi ikon kota.;pernyataan
Polisi mengatur lalu lintas di persimpangan jalan yang sibuk.;pernyataan
Penulis menulis cerita-cerita fantasi yang menarik bagi pembaca.;pernyataan
Penjual buah memajang buah-buahan segar di atas meja dagangannya.;pernyataan
Petugas kebersihan membersihkan jalan-jalan dari sampah-sampah yang berserakan.;pernyataan
Pengacara membela klien mereka di ruang sidang pengadilan.;pernyataan
Teknisi komputer memperbaiki perangkat keras yang rusak di kantor mereka.;pernyataan
Pilot mengemudikan pesawat terbang ke destinasi yang jauh.;pernyataan
Pandai besi membentuk besi-besi panas menjadi perkakas yang berguna.;pernyataan
Penjaga keamanan menjaga pintu gerbang perumahan dari orang asing.;pernyataan
Koki memasak hidangan lezat di dapur restoran mewah.;pernyataan
Peternak menggembala domba-dombanya di padang rumput yang luas.;pernyataan
Penata rambut membuat gaya rambut yang trendi untuk pelanggan mereka.;pernyataan
Petugas kebersihan mencuci dan menyetrika pakaian-pakaian di laundry.;pernyataan
Montir mobil memperbaiki mobil yang rusak di bengkel mereka.;pernyataan
Pengrajin perhiasan membuat perhiasan yang cantik dari berbagai batu mulia.;pernyataan
Tukang kayu membuat mebel-mebel kayu yang indah di bengkelnya.;pernyataan
Penjahit menjahitkan pakaian dengan teliti di butiknya.;pernyataan
Musisi memainkan lagu-lagu yang indah di atas panggung yang ramai.;pernyataan
Pekerja konstruksi membangun gedung pencakar langit yang megah.;pernyataan
Penyair menulis puisi-puisi yang puitis tentang alam dan kehidupan.;pernyataan
Penjaga kebun binatang merawat hewan-hewan yang ada di dalam kebun binatang.;pernyataan
Pengendara sepeda mengayuh sepeda mereka di sepanjang jalan-jalan di kota.;pernyataan
Guru yoga mengajar teknik-teknik pernapasan kepada murid-muridnya di kelas yoga.;pernyataan
Pegawai bank melayani nasabah yang datang ke kantor cabang bank.;pernyataan
Pejabat pemerintah membuat kebijakan-kebijakan yang penting untuk masyarakat.;pernyataan
Konsultan bisnis memberikan saran-saran strategis kepada klien-klien mereka.;pernyataan
Psikolog membantu pasien-pasien mereka mengatasi masalah-masalah psikologis yang mereka hadapi.;pernyataan
Diplomat berunding dengan diplomat-diplomat dari negara-negara lain di konferensi internasional.;pernyataan
Peneliti medis melakukan penelitian terhadap penyakit-penyakit yang mematikan.;pernyataan
Pengembang perangkat lunak merancang aplikasi-aplikasi yang inovatif untuk perangkat lunak.;pernyataan
Teknisi listrik memperbaiki instalasi listrik yang rusak di gedung-gedung perkantoran.;pernyataan
Peneliti lingkungan mempelajari dampak-dampak perubahan iklim terhadap lingkungan.;pernyataan
Ilmuwan astronomi mengamati planet-planet di luar angkasa melalui teleskop.;pernyataan
Penyunting buku menyunting naskah-naskah untuk diterbitkan di penerbitan mereka.;pernyataan
Psikiater membantu pasien-pasien mereka mengatasi gangguan-kegelisahan mental.;pernyataan
Petugas pajak mengumpulkan pajak dari warga-warga yang membayar pajak.;pernyataan
Guru bahasa mengajar kelas bahasa kepada murid-murid asing di sekolah bahasa.;pernyataan
Peneliti arkeologi menggali situs-situs purbakala untuk mencari artefak-artefak bersejarah.;pernyataan
Ilustrator membuat gambar-gambar yang indah untuk buku-buku anak-anak.;pernyataan
Konservator museum merawat artefak-artefak dan karya seni di dalam museum mereka.;pernyataan
Penjaga pantai mengawasi pantai dari menara penjaga pantai mereka.;pernyataan
Penyair menyampaikan puisi-puisi mereka di depan para pendengar di acara sastra.;pernyataan
Pejabat pajak memeriksa laporan pajak yang diajukan oleh wajib pajak.;pernyataan
Pengrajin kaca membentuk kaca-kaca dengan keahlian di studio kaca mereka.;pernyataan
Fotografer pernikahan mengabadikan momen-momen spesial di hari pernikahan pasangan.;pernyataan
Seniman topeng membuat topeng-topeng tradisional untuk upacara-upacara adat.;pernyataan
Ahli terapi fisik membantu pasien-pasien mereka pulih dari cedera fisik.;pernyataan
Sutradara film menyutradarai adegan-adegan dalam produksi film mereka.;pernyataan
Petugas kebersihan kota membersihkan sampah-sampah dari jalan-jalan di kota.;pernyataan
Petani menanam bibit-bibit pohon di lahan mereka untuk mencegah erosi tanah.;pernyataan
Dokter hewan merawat hewan-hewan yang sakit atau cedera di klinik hewan mereka.;pernyataan
Pelaut mengemudikan kapal melintasi lautan luas menuju pelabuhan tujuan mereka.;pernyataan
Ahli antropologi mempelajari budaya-budaya manusia di berbagai belahan dunia.;pernyataan
Juragan tambak membudidayakan ikan-ikan di tambak-tambak mereka di pinggir pantai.;pernyataan
Ahli ekonomi membuat model ekonomi untuk memprediksi tren-tren ekonomi di masa depan.;pernyataan
Peneliti energi terbarukan mencari solusi-solusi untuk mengurangi ketergantungan pada bahan bakar fosil.;pernyataan
Pemrogram komputer menulis kode-kode untuk mengembangkan aplikasi dan perangkat lunak.;pernyataan
Seorang anak muda belajar tentang dunia di sekitarnya melalui penjelajahan dan pengalaman.;pernyataan
Seorang ilmuwan politik menganalisis proses politik dan kebijakan publik di berbagai negara.;pernyataan
Seorang pramugari melayani penumpang di dalam pesawat selama penerbangan.;pernyataan
Seorang pelaut menavigasi kapal melalui perairan yang berbahaya dengan kompas mereka.;pernyataan
Seorang kuli bangunan membantu dalam pembangunan bangunan-bangunan di sekitar kota.;pernyataan
Seorang pelayan restoran melayani makanan dan minuman kepada pelanggan di restoran mereka.;pernyataan
Seorang fotografer jurnalis mengabadikan momen-momen penting dalam berita dengan kameranya.;pernyataan
Seorang pemadam kebakaran menanggapi panggilan darurat untuk memadamkan kebakaran.;pernyataan
Seorang insinyur sipil merancang jembatan-jembatan dan jalan-jalan di kota mereka.;pernyataan
Seorang diplomat negara menegosiasikan perjanjian-perjanjian diplomatik dengan negara lain.;pernyataan
Seorang penerjemah menerjemahkan dokumen-dokumen dari satu bahasa ke bahasa lainnya.;pernyataan
Seorang ahli genetika mempelajari gen-gen dan DNA untuk memahami pewarisan sifat-sifat.;pernyataan
Seorang ahli botani mengidentifikasi dan mengklasifikasikan spesies-spesies tumbuhan di alam.;pernyataan
Seorang penulis lepas menulis artikel-artikel untuk majalah-majalah dan surat kabar.;pernyataan
Seorang penyiar radio menyampaikan berita dan informasi kepada pendengar di udara.;pernyataan
Seorang pengusaha properti mengembangkan properti-properti untuk proyek-proyek komersial.;pernyataan
Seorang pemburu harta karun mencari artefak-artefak berharga di dalam gua-gua yang tersembunyi.;pernyataan
Seorang pekerja konstruksi membangun rumah-rumah dan bangunan-bangunan untuk klien-klien mereka.;pernyataan
Seorang perajin perak membuat perhiasan-perhiasan yang indah dari perak di bengkel mereka.;pernyataan
Seorang pedagang pasar menjual barang-barang dagangan mereka di pasar tradisional.;pernyataan
Berdasarkan patokan 'Pedoman Ejaan Bahasa Jawa Yang Disempurnakan'.;pernyataan
Pusat Pembinaan dan Pengembangan Bahasa Departemen Pendidikan dan Kebudayaan Jakarta 1977.;pernyataan
Karakter didasarkan pada karakter Jawiya, Itu sebabnya salah satu hurufnya tertulis karakter Latin berbeda-beda.;pernyataan
Penyebutan pelafalan vokal Taling dibacakan.;pernyataan
Perbedaan bacaan vokal Taling.;pernyataan
untuk kata-kata yang dianggap perlu ditandai.;pernyataan
Penyebutan pelafalan vokal Pêpêt.;pernyataan
Mudah dibaca dan mudah dimengerti bila diberi urutan angka: I, II (angka romawi) dan urutan angka: 1, 2 dst.;pernyataan
Halaman isi dalam volume 1 angka 1 sampai akhir, halaman 332, dalam volume berikutnya setiap volume dimulai dari halaman 1.;pernyataan
Menggunakan Tanda Baca.;pernyataan
Kesalahan dalam naskah,misalnya: gagal diberi tanda lalu disebelahnya,ikuti catatan dibawah ini (catatan kaki).;pernyataan
isi dari serat centhini II.;pernyataan
Sêrat Centhini Volume II berdiameter 87 pupuh,dari pupuh 88 sampai dengan 174.;pernyataan
Urutan dan ceritanya terus berlanjut sampai volume II seperti dibawah ini.;pernyataan
Anak tunggal seh Akidayat dari Gunung Sokayasa yaitu Mas Cebolang yang bagus rupanya.;pernyataan
banyak uang , pergi tanpa pamit, diikuti murid-muridnya.;pernyataan
Mengikuti langkahnya ke Purbalingga.;pernyataan
Di Pemakaman Lawet, dia melanjutkan pekerjaannya.;pernyataan
Di makam Dhukuh Mas Cebolang dan anak buahnya pergi ke rumah Demang Srana.;pernyataan
Peluncuran makam Seh Jambukarang di punggungan.;pernyataan
Lalu bayar gaji di penginapan.;pernyataan
Sulit untuk menjaga layar di tengah jalan.;pernyataan
Semoga bisa dipercaya dan menjaga tindakan jiharja.;pernyataan
Bahkan mendengarkan suara, itu telah menjadi hati dan keinginannya.;pernyataan
Perjalanannya ke Surawana, yang terletak di Muncar, dihadiri oleh kepala desa Ki Dati.;pernyataan
Keesokan harinya dia pergi ke Banyumas.;pernyataan
Hancurkan bendungan di Pancasan.;pernyataan
Pergi ke Banyumas, dia naik ke puncak Sumerap di tengah jalan, dengan nama panggilan, yang akan mengangkat tangannya.;pernyataan
Hanya Mas Cebolang yang mampu mengangkat penumpang.;pernyataan
Kemudian mereka mengarungi sungai Serayu.;pernyataan
Hampir di desa Arjabinangun dikenal sebagai Ajaran Naraddhi yang menjabat sebagai santapan Seh Akidayat di Sokayasa.;pernyataan
Kemudian mereka menyerbu wilayah tersebut ke gua Limusbuntu.;pernyataan
Lihat bangunan rumah gua dan pedhats Selapethak.;pernyataan
Kisah kerajaan raksasa.;pernyataan
Lanjutkan ke Sagarang Anakan, kemudian naik perahu ke Karangbolong, ke ujung Alang, gunung Ciwiring.;pernyataan
Dari sisi lain pulau Bandhung, tempatnya adalah Wijayakusuma, yang disebut distrik Bayan.;pernyataan
Janngan Naraddhi menceritakan ketika Raja Krishna mengenakan Wijayakusuma dan wadahnya ke pulau Bandhung.;pernyataan
Lanjutkan ke Jumprit, melihat sungai Praga di sungai Sindara.;pernyataan
Menemukan Ki Gumpita yang menceritakan kisah Ki Jumprit tentang kematian, Ki Jumprit adalah keturunan Krishna.;pernyataan
Perjalanannya ke desa Margawati adalah Kedu.;pernyataan
menemukan Ki Lehdaswaninda yang mengatakan kepada tukang cukur Margawati (kuda) untuk diidentifikasi oleh Sultan Mataram.;pernyataan
Ki Lebdaswan menyukai cerita tentang karakteristik kapal secara keseluruhan sampai hari-hari kapal dan perjalanannya ke gedung.;pernyataan
Perjalanannya ke sungai ditemukan di tempat tidur Bedhaya sebagai Ki Candhikyuda dan istrinya Nyi Rantamsari yang tinggal di abdidalem kerajaan Majapahit.;pernyataan
Tubuh siapa yang berada di tempat tidur Badui, itu akan dilihat oleh semua orang yang melihatnya.;pernyataan
Kemudian mereka melihat sumber Pikatan.;pernyataan
Pergi ke Ambarawa dan gunung jambu.;pernyataan
Upacara diadakan di istana Raja Majapahit Brawijaya.;pernyataan
Tiba-tiba terbebani oleh kabut abadi pegunungan Merapi.;pernyataan
Berjalan dalam cahaya, kembali ke selatan ke arah Tidhar, ke Seh Wakidayat di hadapannya.;pernyataan
Lebar sayapnya indah, semua dengan Masolang.;pernyataan
Seh Wakidayat bercerita tentang: menikah, bercerai / bercerai, rekonsiliasi, harmonis, kiamat, dan menyamar, meskipun moncer tidak memiliki banyak masalah.;pernyataan
Semakin kita meminta tindakan mereka, yang terakhir dari suami mereka adalah dibenarkan, pernikahan seseorang.;pernyataan
Jalan menuju ke kuil Barabudhur.;pernyataan
Selain melihat candi Barabudhur dan Mendhut, mereka terus bekerja di Mataram, Sultan Sultan Agung.;pernyataan
Di Mataram memperoleh pengetahuan yang berwarna-warni.;pernyataan
Semakin dia bisa membawa santrinya ke rumah abdidalem Ki Amat Tengara di Kauman.;pernyataan
Dia adalah anak termiskin dari orang miskin, dan selalu akrab dengan keluarganya sendiri.;pernyataan
Semakin banyak Anda meminta banyak dan beragam hal yang terjadi.;pernyataan
Itu di makam Panembahan Senapati di masjid agung.;pernyataan
Ki Amongtrustho sudah dekat.;pernyataan
mendengarkan spons perunggu.;pernyataan
diinvestasikan oleh para sarjana, memperoleh deskripsi perbuatan.;pernyataan
naluri perempuan, mengakhiri nafsu makan-romansa dan impunitas.;pernyataan
Ketika dia terlihat seperti gajah, dia pergi ke toko untuk membeli mint, Mila pergi ke rumah induk Ki Anom yang suka menjelaskan cerita, dimulai dengan seekor keledai.;pernyataan
3.5.7. dan seterusnya hingga 29.;pernyataan
informasi yang tangguh dan baik serta karakter yang baik.;pernyataan
deskripsi tombak dan tombak lurus.;pernyataan
Ibumu mencintai Ki Bawaraga, abdidalem lurah niyaga.;pernyataan
memperoleh pengetahuan tentang wadah perunggu dan tanah liat.;pernyataan
Berpartisipasi di rumah Ki Mediaswa.;pernyataan
The abdidalem manegar, mengingat deskripsi penataan ulang kapal, termasuk sebuah kapal yang nakal atau bahkan.;pernyataan
Juga, kuda dan kuda mereka dan ketidakcocokan mereka.;pernyataan
Ikuti Amat Land ke Ki Pujangkara.;perintah
mengingat deskripsi pendirian rumah sehari-hari.;pernyataan
tentang kelahiran dan gempa buminya.;pernyataan
prosedur dan upacara hantu.;pernyataan
Dikatakan bahwa selama dia akan memberikan putrinya sebuah upacara yang berwarna-warni.;pernyataan
Tanah Besar dan Lebih Menyenangkan.;pernyataan
Di situlah Ki Pujangkara bertemu Nyai Cundhamundhinghanthing pekerja dan telah bekerja dengan maesa daging.;pernyataan
Untuk para tamu akan ada tamu.;pernyataan
